,city,trips_in_first_30_days,avg_rating_of_driver,avg_surge,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,rider_didnot_rate,active
25994,0,1,5.0,1.0,0.0,0.0,0,100.0,7.48,5.0,0,0
12199,0,0,4.0,1.0,0.0,0.0,0,100.0,5.71,5.0,0,0
28308,1,1,5.0,1.0,1.0,0.0,1,100.0,5.06,5.0,0,0
7204,2,2,4.0,1.0,0.0,0.0,0,0.0,4.38,5.0,1,0
40234,0,0,5.0,1.0,1.0,0.0,1,100.0,1.8900000000000001,4.5,0,0
1642,1,1,5.0,1.0,1.0,0.0,0,100.0,2.44,5.0,0,0
5320,1,6,4.3,1.0,0.0,0.0,0,100.0,3.01,4.3,0,0
26772,0,3,4.7,1.0,1.0,0.0,0,100.0,16.39,4.3,0,0
49536,1,0,5.0,1.0,1.0,0.0,0,0.0,1.26,4.0,0,0
16576,2,0,5.0,1.75,1.0,100.0,0,0.0,1.78,5.0,0,0
26439,1,5,4.8,1.0,0.0,0.0,1,80.0,8.13,4.7,0,1
14908,1,3,4.5,1.0,0.0,0.0,0,50.0,7.37,4.7,0,0
13346,1,1,5.0,1.13,0.0,25.0,1,50.0,3.7800000000000002,4.3,0,0
43382,1,15,4.2,1.1400000000000001,1.0,11.5,1,84.6,1.58,4.7,0,1
14151,0,1,4.0,1.0,1.0,0.0,0,100.0,8.38,5.0,1,0
22577,1,1,5.0,1.0,1.0,0.0,0,100.0,3.17,5.0,0,0
42732,1,1,4.0,1.5,0.0,100.0,0,0.0,39.49,5.0,1,0
42369,2,0,4.0,1.0,0.0,0.0,1,100.0,3.44,5.0,0,0
42209,1,1,1.0,1.0,0.0,0.0,0,0.0,5.03,5.0,0,0
35652,0,1,5.0,1.25,1.0,100.0,0,0.0,11.94,2.0,0,0
24304,1,5,4.7,1.31,0.0,25.0,1,66.7,3.55,4.7,0,1
18207,2,0,5.0,1.0,1.0,0.0,0,0.0,1.9100000000000001,5.0,0,0
